sample,feature,shap
0,age,-0.020556881292582613
0,sex,0.00330782549014086
0,chest pain type,-0.13826780078245637
0,resting bp s,-0.006886136695584317
0,cholesterol,0.07185814682362048
0,fasting blood sugar,-0.032688130078223875
0,resting ecg,0.020121215394698112
0,max heart rate,0.02784732144092547
0,exercise angina,0.06239300447724748
0,oldpeak,-0.048766703071439925
0,ST slope,-0.10772147397593687
1,age,0.012914631224265378
1,sex,0.004795342225835985
1,chest pain type,-0.03717415769878288
1,resting bp s,-0.02221216352956154
1,cholesterol,0.016213760459930202
1,fasting blood sugar,-0.028436581581222167
1,resting ecg,0.01241836572400339
1,max heart rate,-0.026111363251252014
1,exercise angina,-0.021395763131938847
1,oldpeak,-0.037115927748556855
1,ST slope,0.10178250915914712
2,age,0.006437702317189192
2,sex,0.003368318688305789
2,chest pain type,-0.060822603932072936
2,resting bp s,-0.043220596574053034
2,cholesterol,-0.04287994502751889
2,fasting blood sugar,-0.03444040876901185
2,resting ecg,-0.030992450908525187
2,max heart rate,-0.03523439445584856
2,exercise angina,-0.033504967576711724
2,oldpeak,0.07755771364400103
2,ST slope,-0.10610763225317663
3,age,0.018359829961119824
3,sex,-0.054288361339612
3,chest pain type,0.09892034813065691
3,resting bp s,0.03195758843486025
3,cholesterol,0.005410207807067076
3,fasting blood sugar,-0.046422257113853144
3,resting ecg,0.01428070971213298
3,max heart rate,0.05341145847077926
3,exercise angina,-0.048491567564618476
3,oldpeak,-0.04698431550349904
3,ST slope,-0.12002107394502672
4,age,0.03828039161606611
4,sex,-0.018457372138515504
4,chest pain type,0.007028599284609857
4,resting bp s,-0.021820126265603274
4,cholesterol,0.025799053833240396
4,fasting blood sugar,-0.023498643686138184
4,resting ecg,0.08679157427840485
4,max heart rate,-0.01588622895635418
4,exercise angina,-0.028870385044017347
4,oldpeak,-0.03864745256635965
4,ST slope,-0.08346883192149711
5,age,0.0005560370434794885
5,sex,0.008456053091147128
5,chest pain type,0.09110824775747972
5,resting bp s,0.0003978381234443469
5,cholesterol,0.023125998695359078
5,fasting blood sugar,-0.016743892934736063
5,resting ecg,0.005498775310161656
5,max heart rate,0.04171854327139684
5,exercise angina,-0.015459766832246893
5,oldpeak,0.01935810380476563
5,ST slope,0.2343814729049843
6,age,0.01452341655943917
6,sex,0.007608093935681426
6,chest pain type,0.09216991856360843
6,resting bp s,-0.0465562495539037
6,cholesterol,0.03019403771537177
6,fasting blood sugar,0.06505790926629453
6,resting ecg,0.008870478999647142
6,max heart rate,0.09211922826042357
6,exercise angina,0.053422829924791984
6,oldpeak,-0.02092455788675533
6,ST slope,0.09798806099436762
7,age,-0.013880798563961082
7,sex,-0.01848730162780872
7,chest pain type,-0.14349587535706326
7,resting bp s,0.05500685764838224
7,cholesterol,-0.01875260581864135
7,fasting blood sugar,-0.019547640188020347
7,resting ecg,0.013403453996776343
7,max heart rate,0.0650076351187304
7,exercise angina,0.04412086016030089
7,oldpeak,0.01008490984654443
7,ST slope,-0.08374457587341196
8,age,0.008991198180069895
8,sex,0.0017192467186045604
8,chest pain type,-0.04795741992328084
8,resting bp s,-0.01582438052727826
8,cholesterol,-0.0263085977985293
8,fasting blood sugar,-0.027689904928243154
8,resting ecg,-0.03581179099636796
8,max heart rate,0.0023020226942256283
8,exercise angina,-0.02707578030517956
8,oldpeak,-0.009552575107762154
8,ST slope,-0.1049549001541916
9,age,0.03794484415395811
9,sex,0.011547593078490268
9,chest pain type,0.12775737268590978
9,resting bp s,0.01302936522842267
9,cholesterol,0.04013460708544712
9,fasting blood sugar,0.11118759637802493
9,resting ecg,-0.013192164063773834
9,max heart rate,0.0828003908589688
9,exercise angina,-0.021892058689329204
9,oldpeak,0.035605526360645234
9,ST slope,-0.05212684230151593
10,age,0.013032157880717633
10,sex,0.006870667355629154
10,chest pain type,0.08939058904359586
10,resting bp s,-0.01214870026735777
10,cholesterol,-0.05030407403424816
10,fasting blood sugar,-0.017391810121193525
10,resting ecg,-0.009845848964858621
10,max heart rate,0.1082874829647754
10,exercise angina,0.04842128560077958
10,oldpeak,0.05553363186690843
10,ST slope,0.11404324408415704
11,age,-0.05932407552407317
11,sex,-0.02953713230424429
11,chest pain type,-0.0229677975306737
11,resting bp s,0.02817809957569196
11,cholesterol,-0.028027132160138465
11,fasting blood sugar,-0.03007599664369294
11,resting ecg,0.015488804286077398
11,max heart rate,-0.08098542134904566
11,exercise angina,-0.02812550515483549
11,oldpeak,-0.0446786134621547
11,ST slope,0.10342739052214911
12,age,0.005091624007970517
12,sex,0.008903737168176265
12,chest pain type,0.12137935884654816
12,resting bp s,0.01582608503289305
12,cholesterol,0.02376817604141976
12,fasting blood sugar,-0.019484166040820487
12,resting ecg,-0.00860876478056512
12,max heart rate,0.031070359137018826
12,exercise angina,0.06425493276295191
12,oldpeak,-0.00904873137020409
12,ST slope,0.13032729910703048
13,age,-0.004296056414730109
13,sex,-0.026162930362710286
13,chest pain type,0.13684462437632455
13,resting bp s,-0.015174237053494815
13,cholesterol,-0.04699357162618514
13,fasting blood sugar,0.08481982363842788
13,resting ecg,-0.005471114353442605
13,max heart rate,0.018035484432162657
13,exercise angina,-0.019096011978540762
13,oldpeak,0.038502548512338884
13,ST slope,0.12427399632647235
14,age,0.013899237767375526
14,sex,-0.02909426349272525
14,chest pain type,0.13191361411646346
14,resting bp s,-0.058235813529258496
14,cholesterol,-0.06867229555598718
14,fasting blood sugar,-0.022591300249270776
14,resting ecg,0.010509991118781882
14,max heart rate,0.01531919002203404
14,exercise angina,0.0704733101245248
14,oldpeak,0.10980680702901571
14,ST slope,0.11808621066411493
15,age,0.01657357188820141
15,sex,0.010128265044278183
15,chest pain type,0.09069436922996787
15,resting bp s,0.03304719981235025
15,cholesterol,0.028532453971543185
15,fasting blood sugar,-0.016579808603788587
15,resting ecg,0.007738057128725649
15,max heart rate,0.025665320717353966
15,exercise angina,0.06061665890461326
15,oldpeak,0.008562746273454021
15,ST slope,0.12096187389742787
16,age,0.01995948318127802
16,sex,0.01085933738799829
16,chest pain type,0.0833261222110807
16,resting bp s,0.0422578723529171
16,cholesterol,-0.0015310773410361462
16,fasting blood sugar,-0.01621997393155132
16,resting ecg,0.007377557251915507
16,max heart rate,0.005785754494561222
16,exercise angina,0.061633673384085444
16,oldpeak,0.07904452935417519
16,ST slope,0.08485576869574005
17,age,0.012505032371787841
17,sex,0.009584967994947841
17,chest pain type,0.11014299944700223
17,resting bp s,0.00625394737353193
17,cholesterol,0.026976751766670175
17,fasting blood sugar,-0.019597183529586153
17,resting ecg,-0.006432380286604668
17,max heart rate,0.06482670297624346
17,exercise angina,0.05386015957581723
17,oldpeak,-0.01632541114418398
17,ST slope,0.1335833731910443
18,age,0.02033441667255074
18,sex,0.001995563289758141
18,chest pain type,-0.04454333540671318
18,resting bp s,-0.017131979601242596
18,cholesterol,0.029203071145557376
18,fasting blood sugar,-0.032244764472464923
18,resting ecg,-0.03146397476113555
18,max heart rate,-0.003982658198019811
18,exercise angina,-0.03688670915202738
18,oldpeak,-0.0007058046730649758
18,ST slope,-0.1261841176677891
19,age,0.0002588249706524672
19,sex,0.00703005427885249
19,chest pain type,-0.07348024329146668
19,resting bp s,-0.0017102551600200876
19,cholesterol,-0.05024697940283775
19,fasting blood sugar,-0.04115205834359205
19,resting ecg,-0.030688648110547098
19,max heart rate,0.011938270630459324
19,exercise angina,-0.0499413794500844
19,oldpeak,-0.06117207848158939
19,ST slope,-0.13046878492284994
20,age,-0.00024993786359206726
20,sex,0.011111809420005477
20,chest pain type,0.04688963583103965
20,resting bp s,0.007771996731823565
20,cholesterol,0.037985981987265015
20,fasting blood sugar,-0.020044923079427672
20,resting ecg,0.011876610405037982
20,max heart rate,0.053372334939224934
20,exercise angina,0.06415710141352603
20,oldpeak,0.00581205466125209
20,ST slope,0.12412975554739093
21,age,-0.02633580530719195
21,sex,-0.02912232765046156
21,chest pain type,-0.030861324741426117
21,resting bp s,-0.07066987675286626
21,cholesterol,-0.03905148808461092
21,fasting blood sugar,-0.03792335420738454
21,resting ecg,-0.028061186197773768
21,max heart rate,-0.03220205773632949
21,exercise angina,-0.030761423997787567
21,oldpeak,-0.05341896407501714
21,ST slope,-0.11780532401567127
22,age,0.02711307916546902
22,sex,0.01023827847927885
22,chest pain type,0.05506021715309345
22,resting bp s,0.006885277593111712
22,cholesterol,0.03351490077103573
22,fasting blood sugar,-0.018802424562196267
22,resting ecg,0.005683338927798278
22,max heart rate,0.03796572372961255
22,exercise angina,0.057339382793179586
22,oldpeak,0.053198439985679545
22,ST slope,0.11562043830444756
23,age,-0.0016882843178953927
23,sex,0.011599163103249996
23,chest pain type,-0.09703220816849283
23,resting bp s,-0.009128915531609862
23,cholesterol,-0.008518776488093476
23,fasting blood sugar,0.07875696797828605
23,resting ecg,0.004686109235070396
23,max heart rate,0.08656552946378944
23,exercise angina,-0.02468080280205179
23,oldpeak,0.022855982001443436
23,ST slope,0.26222701668140874
24,age,0.015599885094104041
24,sex,0.004640464475734957
24,chest pain type,-0.14956855492250248
24,resting bp s,-0.05264083104504775
24,cholesterol,-0.027556529192761917
24,fasting blood sugar,-0.021499423377685296
24,resting ecg,0.006099233268651196
24,max heart rate,0.03509619104748605
24,exercise angina,0.04652513791931638
24,oldpeak,0.018107226183722118
24,ST slope,0.10524475645686364
25,age,0.00966726963726595
25,sex,0.01059220330398593
25,chest pain type,0.10903322545494916
25,resting bp s,-0.03193700801784401
25,cholesterol,-0.005909094279918272
25,fasting blood sugar,0.07461240328054235
25,resting ecg,-0.0091803827503712
25,max heart rate,0.02600594751133972
25,exercise angina,0.0619150519995779
25,oldpeak,0.007754713036124149
25,ST slope,0.1167820464909787
26,age,-0.0004908993582030674
26,sex,0.003383239765548558
26,chest pain type,-0.041702075630008675
26,resting bp s,0.05620193775090422
26,cholesterol,-0.02761072505557847
26,fasting blood sugar,-0.02105755514379178
26,resting ecg,-0.01373423126982634
26,max heart rate,0.0090456409390075
26,exercise angina,-0.024171474038632384
26,oldpeak,-0.029115129828198447
26,ST slope,0.10098116523865451
27,age,0.028816378600909236
27,sex,0.0050404696226714575
27,chest pain type,-0.0022563161887277586
27,resting bp s,-0.034138334047896395
27,cholesterol,-0.007321137557584757
27,fasting blood sugar,-0.035221276369218756
27,resting ecg,-0.037056179069044376
27,max heart rate,-0.0058487297801568345
27,exercise angina,-0.0386872096951995
27,oldpeak,-0.04933685285035608
27,ST slope,-0.12144616109447315
28,age,0.011693983249277966
28,sex,0.0054480312829000305
28,chest pain type,-0.23168839947565623
28,resting bp s,0.0254547571178054
28,cholesterol,0.0029851728346266767
28,fasting blood sugar,-0.028544041084490993
28,resting ecg,-0.02232611431674087
28,max heart rate,-0.04897288496520623
28,exercise angina,0.04816606321460667
28,oldpeak,-0.038478175342725206
28,ST slope,-0.11292245573986193
29,age,0.005861031345869095
29,sex,0.004604463002158296
29,chest pain type,-0.06383255686284822
29,resting bp s,0.01198153962769614
29,cholesterol,-0.05861273499705234
29,fasting blood sugar,-0.04251287691846184
29,resting ecg,-0.02428314412266644
29,max heart rate,-0.06668293164425892
29,exercise angina,-0.038801356821035374
29,oldpeak,-0.04455875661449025
29,ST slope,-0.1454772164847143
30,age,0.019613889901663423
30,sex,-0.02822681963947042
30,chest pain type,-0.0016618050299506467
30,resting bp s,0.04717513937185776
30,cholesterol,-0.013309000321896318
30,fasting blood sugar,-0.027896806505187825
30,resting ecg,0.05267916195439598
30,max heart rate,0.014576940462488005
30,exercise angina,-0.028627680854513022
30,oldpeak,-0.009552903874923207
30,ST slope,-0.10979719176957933
31,age,0.0012249344391391896
31,sex,-0.027895833168891066
31,chest pain type,0.03177054218571843
31,resting bp s,0.09272586829839458
31,cholesterol,0.05227855680964862
31,fasting blood sugar,-0.03074686373254464
31,resting ecg,0.05309351035598874
31,max heart rate,0.009758813709502616
31,exercise angina,-0.03549424322495248
31,oldpeak,-0.04327926442626712
31,ST slope,-0.09550378045922688
32,age,0.026536057440219193
32,sex,-0.021408352755544667
32,chest pain type,-0.11581387036827759
32,resting bp s,0.09593678958505836
32,cholesterol,0.028571603636117077
32,fasting blood sugar,-0.02066328678150637
32,resting ecg,-0.012657481885328673
32,max heart rate,0.03471578430777907
32,exercise angina,-0.024664085230597294
32,oldpeak,-0.01804033275756142
32,ST slope,0.1222943550025718
33,age,0.043381719431977356
33,sex,0.007724060352642723
33,chest pain type,-0.048710613233445846
33,resting bp s,0.12282583244569276
33,cholesterol,0.03485326507093117
33,fasting blood sugar,-0.025898008644112503
33,resting ecg,0.016847060298972902
33,max heart rate,-0.0040779469799692766
33,exercise angina,0.05740850292071552
33,oldpeak,0.009866188758164654
33,ST slope,-0.07584855664586118
34,age,0.008079508146215962
34,sex,0.006933356052226856
34,chest pain type,0.08166453915103719
34,resting bp s,-0.004199017668346221
34,cholesterol,-0.006651427895031415
34,fasting blood sugar,-0.014236274381693765
34,resting ecg,-0.00179376848228306
34,max heart rate,0.024440524986890217
34,exercise angina,0.04440203440796118
34,oldpeak,0.060371060478850366
34,ST slope,0.19237082925443907
35,age,0.004652950641264647
35,sex,0.009089218696616415
35,chest pain type,0.10751377759384931
35,resting bp s,0.012976914732950736
35,cholesterol,0.02251286770128714
35,fasting blood sugar,-0.01793646108147046
35,resting ecg,0.008297694003801263
35,max heart rate,0.0936451206262399
35,exercise angina,0.058665703194520656
35,oldpeak,-0.02122541197531989
35,ST slope,0.1029707358860917
36,age,0.0264974426991783
36,sex,-0.04490579640487681
36,chest pain type,0.1092684873394093
36,resting bp s,0.020050407205449414
36,cholesterol,-0.03777475991834399
36,fasting blood sugar,-0.03151125730088747
36,resting ecg,-0.016178718153883744
36,max heart rate,0.03911891743329982
36,exercise angina,-0.03287780981213497
36,oldpeak,-0.015771779850514492
36,ST slope,0.1563809283330018
37,age,0.02022606941974526
37,sex,0.005693844971327875
37,chest pain type,-0.06961037609192045
37,resting bp s,0.013179342620428004
37,cholesterol,0.039649603230895204
37,fasting blood sugar,-0.04292594486816076
37,resting ecg,-0.0202396639907123
37,max heart rate,-7.510021906836388e-05
37,exercise angina,-0.04509686497674567
37,oldpeak,-0.04978431363845041
37,ST slope,-0.14020909718165203
38,age,-0.029673065398830085
38,sex,0.00397082653437691
38,chest pain type,-0.2197592025436648
38,resting bp s,-0.03253864697830746
38,cholesterol,-0.018685631996381086
38,fasting blood sugar,-0.024179387053872355
38,resting ecg,-0.016118671918306404
38,max heart rate,-0.045439773917019574
38,exercise angina,-0.029739703937848902
38,oldpeak,0.04335519560216793
38,ST slope,0.11231264474675694
39,age,-0.07350679832521465
39,sex,0.0029861483451102283
39,chest pain type,-0.1344372811251111
39,resting bp s,-0.04838430342400478
39,cholesterol,0.02384062439436899
39,fasting blood sugar,-0.027897253580903652
39,resting ecg,-0.02009748916528886
39,max heart rate,-0.04950079801844548
39,exercise angina,-0.029460143645972242
39,oldpeak,-0.03425411801907866
39,ST slope,0.12470699841328235
40,age,0.01049582406023427
40,sex,0.006908060451291749
40,chest pain type,0.0013029304190832229
40,resting bp s,0.13264149916328236
40,cholesterol,0.04363856421095644
40,fasting blood sugar,-0.038216976684530696
40,resting ecg,-0.0343503489974701
40,max heart rate,0.0011425498759494532
40,exercise angina,-0.0457518972737294
40,oldpeak,-0.060801971545380515
40,ST slope,-0.11755716909829393
41,age,0.014019958441402086
41,sex,0.009138371655825267
41,chest pain type,0.08477872891837278
41,resting bp s,0.014915315858481968
41,cholesterol,0.024040574933946915
41,fasting blood sugar,0.06565014909545994
41,resting ecg,-0.006739118124287196
41,max heart rate,0.02294108552662676
41,exercise angina,0.05375986877674415
41,oldpeak,0.008987586931276024
41,ST slope,0.10551828180607761
42,age,-0.014656840975733802
42,sex,0.00604910517023685
42,chest pain type,0.016845094464460607
42,resting bp s,-0.01081851503187114
42,cholesterol,0.003226104832897881
42,fasting blood sugar,-0.03869003015602311
42,resting ecg,-0.027321312520291047
42,max heart rate,-0.11129755717050782
42,exercise angina,-0.039159970202289694
42,oldpeak,-0.06168938127205559
42,ST slope,-0.1195866324433573
43,age,0.025473583073247066
43,sex,0.009802821578305112
43,chest pain type,0.011158691886918495
43,resting bp s,0.19496468520385268
43,cholesterol,0.04170269162792048
43,fasting blood sugar,-0.031915063865848504
43,resting ecg,-0.025241936819562903
43,max heart rate,-0.0032375536303890203
43,exercise angina,0.07339419131901273
43,oldpeak,-0.04365618556892081
