feature,mda
age,-0.024590163934426257
sex,0.0
chest pain type,0.07786885245901631
resting bp s,0.004098360655737654
cholesterol,0.016393442622950727
fasting blood sugar,0.0
resting ecg,0.0
max heart rate,0.0
exercise angina,0.0
oldpeak,0.016393442622950727
ST slope,0.16393442622950816
age,0.0
sex,0.016393442622950727
chest pain type,0.0491803278688524
resting bp s,0.0
cholesterol,-0.016393442622950838
fasting blood sugar,0.0
resting ecg,-0.012295081967213184
max heart rate,-0.016393442622950838
exercise angina,0.008196721311475419
oldpeak,0.040983606557376984
ST slope,0.13524590163934425
age,0.016393442622950727
sex,0.016393442622950727
chest pain type,0.06557377049180324
resting bp s,0.004098360655737654
cholesterol,-0.004098360655737765
fasting blood sugar,0.0
resting ecg,-0.016393442622950838
max heart rate,-0.020491803278688603
exercise angina,0.004098360655737654
oldpeak,0.012295081967213073
ST slope,0.18442622950819665
age,0.004098360655737654
sex,0.0
chest pain type,0.09426229508196715
resting bp s,-0.004098360655737765
cholesterol,0.0
fasting blood sugar,0.004098360655737654
resting ecg,0.008196721311475419
max heart rate,0.016393442622950727
exercise angina,0.024590163934426146
oldpeak,0.024590163934426146
ST slope,0.16393442622950816
age,-0.008196721311475419
sex,0.012295081967213073
chest pain type,0.08606557377049173
resting bp s,0.016393442622950727
cholesterol,0.0
fasting blood sugar,0.008196721311475419
resting ecg,0.008196721311475419
max heart rate,-0.012295081967213184
exercise angina,0.016393442622950727
oldpeak,0.012295081967213073
ST slope,0.16393442622950816
age,0.0
sex,-0.004098360655737765
chest pain type,0.08606557377049173
resting bp s,0.0
cholesterol,-0.008196721311475419
fasting blood sugar,0.012295081967213073
resting ecg,0.0
max heart rate,-0.004098360655737765
exercise angina,-0.004098360655737765
oldpeak,0.024590163934426146
ST slope,0.15163934426229508
age,-0.012295081967213184
sex,0.004098360655737654
chest pain type,0.061475409836065587
resting bp s,0.012295081967213073
cholesterol,-0.028688524590164022
fasting blood sugar,0.004098360655737654
resting ecg,0.0
max heart rate,-0.012295081967213184
exercise angina,0.008196721311475419
oldpeak,0.012295081967213073
ST slope,0.180327868852459
age,0.0
sex,0.012295081967213073
chest pain type,0.040983606557376984
resting bp s,0.0
cholesterol,-0.008196721311475419
fasting blood sugar,0.004098360655737654
resting ecg,0.0
max heart rate,0.0
exercise angina,0.024590163934426146
oldpeak,0.024590163934426146
