sample,feature,shap
0,age,0.07732894596407516
0,sex,-0.0020410028419511265
0,chest pain type,-0.07406246492443991
0,resting bp s,-0.004582689667965189
0,cholesterol,0.04245338472171147
0,fasting blood sugar,-0.014223507165551506
0,resting ecg,0.07447046204066453
0,max heart rate,0.006309892366990695
0,exercise angina,-0.002105353419820775
0,oldpeak,0.02898209780249793
0,ST slope,-0.21603451052079253
1,age,0.00885316844805373
1,sex,-0.02033881984408141
1,chest pain type,-0.1338443300394209
1,resting bp s,0.03905491728002543
1,cholesterol,-0.009994964378615665
1,fasting blood sugar,-0.002485649432645492
1,resting ecg,0.09048644794350677
1,max heart rate,0.022282841259804856
1,exercise angina,0.003587693132818677
1,oldpeak,0.040730715672480565
1,ST slope,0.2283816758676993
2,age,0.007565971345520404
2,sex,-0.00406243923883814
2,chest pain type,-0.10822314109152818
2,resting bp s,-0.011746435424121612
2,cholesterol,-0.025244403373349586
2,fasting blood sugar,-0.015303713458291544
2,resting ecg,-0.05218140729408409
2,max heart rate,0.02971909539624312
2,exercise angina,-0.01687201726294828
2,oldpeak,0.08133283784843089
2,ST slope,-0.18206809130040846
3,age,-0.04283186685048169
3,sex,-0.07149114881442083
3,chest pain type,-0.011652491701103228
3,resting bp s,-0.0071990282161134974
3,cholesterol,-0.0025631414443212587
3,fasting blood sugar,-0.01940146997478697
3,resting ecg,0.02028845260460863
3,max heart rate,-0.022063341925651975
3,exercise angina,-0.027063923083397695
3,oldpeak,-0.09038814155129384
3,ST slope,-0.250629631289784
4,age,0.07322146754169974
4,sex,-0.0739389599183579
4,chest pain type,-0.1126604784665821
4,resting bp s,0.0033641740612822815
4,cholesterol,0.008425371061965078
4,fasting blood sugar,-0.006483216734812793
4,resting ecg,-0.011938785169260483
4,max heart rate,0.07150313604311738
4,exercise angina,-0.020374817523983114
4,oldpeak,-0.03639080268809604
4,ST slope,-0.1554539590405448
5,age,0.011941369754824451
5,sex,0.028140550564587245
5,chest pain type,0.13039041649550717
5,resting bp s,-0.008038039719208037
5,cholesterol,0.0319182806007138
5,fasting blood sugar,-0.011922766667291114
5,resting ecg,0.033472669593854185
5,max heart rate,0.007770356095837856
5,exercise angina,-0.016398691896070346
5,oldpeak,0.011189736715577311
5,ST slope,0.1620632840673803
6,age,0.00842541890339315
6,sex,0.007897356913355384
6,chest pain type,0.10907699129359645
6,resting bp s,-0.014585031624682982
6,cholesterol,0.023154315955314763
6,fasting blood sugar,0.019479243028921407
6,resting ecg,0.018398191546378367
6,max heart rate,0.010265290562876183
6,exercise angina,0.0251356510126916
6,oldpeak,-0.006550723654229936
6,ST slope,0.22059608570053943
7,age,-0.007169383076028415
7,sex,0.037461636188570825
7,chest pain type,-0.19760401962393112
7,resting bp s,0.07515187782087318
7,cholesterol,-0.01698232485283835
7,fasting blood sugar,0.008962770583850716
7,resting ecg,0.07103704688144599
7,max heart rate,0.05649838541618535
7,exercise angina,-0.046372763288390816
7,oldpeak,0.0006206201705510835
7,ST slope,-0.12453510946826629
8,age,-0.0033719122272264507
8,sex,-0.030225621061879576
8,chest pain type,-0.044906227970981524
8,resting bp s,0.027288743855359315
8,cholesterol,-0.0113721457227809
8,fasting blood sugar,-0.011976131110727619
8,resting ecg,-0.06233919357133494
8,max heart rate,0.023688370703580975
8,exercise angina,-0.003527352472546144
8,oldpeak,0.013838365443365763
8,ST slope,-0.18215416862423545
9,age,-0.0009063096415220887
9,sex,0.024566286203976516
9,chest pain type,0.17228741040422837
9,resting bp s,0.020085840953706833
9,cholesterol,0.08438336456209486
9,fasting blood sugar,0.10393120967804693
9,resting ecg,-0.01542752312102378
9,max heart rate,0.0038732616171628215
9,exercise angina,-0.021253349031769866
9,oldpeak,0.09332985354253562
9,ST slope,-0.1210003461029285
10,age,0.008237687799440912
10,sex,0.01391071727414335
10,chest pain type,0.15717170524470822
10,resting bp s,-0.0016805606406336364
10,cholesterol,-0.022971770507269212
10,fasting blood sugar,-0.005651780841554312
10,resting ecg,-0.02402008720207251
10,max heart rate,0.00940874925573479
10,exercise angina,0.03591270712677689
10,oldpeak,0.04026848233818756
10,ST slope,0.20230372894197943
11,age,-0.059527384768143135
11,sex,-0.04560425820086153
11,chest pain type,0.010906190780657786
11,resting bp s,-0.015939119984856896
11,cholesterol,-0.006277315274226457
11,fasting blood sugar,-0.013122767893452566
11,resting ecg,0.11659483051860602
11,max heart rate,0.027815565615155986
11,exercise angina,-0.009793282254265588
11,oldpeak,0.028263749297151575
11,ST slope,0.2572158063918492
12,age,0.007237978021216454
