feature,mda
age,-0.004098360655737654
sex,0.0
chest pain type,0.07377049180327866
resting bp s,0.016393442622950838
cholesterol,0.0
fasting blood sugar,0.008196721311475419
resting ecg,0.012295081967213184
max heart rate,0.008196721311475419
exercise angina,0.008196721311475419
oldpeak,0.024590163934426257
ST slope,0.11885245901639352
age,-0.004098360655737654
sex,-0.004098360655737654
chest pain type,0.09836065573770492
resting bp s,0.0
cholesterol,0.008196721311475419
fasting blood sugar,0.012295081967213184
resting ecg,0.012295081967213184
max heart rate,0.004098360655737765
exercise angina,0.012295081967213184
oldpeak,0.020491803278688492
ST slope,0.12295081967213117
age,0.008196721311475419
sex,0.008196721311475419
chest pain type,0.07786885245901642
resting bp s,0.004098360655737765
cholesterol,0.024590163934426257
fasting blood sugar,0.024590163934426257
resting ecg,0.008196721311475419
max heart rate,0.004098360655737765
exercise angina,0.012295081967213184
oldpeak,0.020491803278688492
ST slope,0.1311475409836066
age,0.008196721311475419
sex,0.008196721311475419
chest pain type,0.09426229508196726
resting bp s,0.012295081967213184
cholesterol,0.004098360655737765
fasting blood sugar,0.012295081967213184
resting ecg,0.032786885245901676
max heart rate,-0.004098360655737654
exercise angina,0.004098360655737765
oldpeak,0.024590163934426257
ST slope,0.15163934426229508
age,-0.004098360655737654
sex,0.008196721311475419
chest pain type,0.10245901639344268
resting bp s,0.012295081967213184
cholesterol,0.012295081967213184
fasting blood sugar,0.016393442622950838
resting ecg,0.012295081967213184
max heart rate,0.008196721311475419
exercise angina,0.016393442622950838
oldpeak,0.008196721311475419
ST slope,0.14344262295081966
age,0.024590163934426257
sex,0.0
chest pain type,0.09426229508196726
resting bp s,0.004098360655737765
cholesterol,0.008196721311475419
fasting blood sugar,0.024590163934426257
resting ecg,0.016393442622950838
max heart rate,-0.008196721311475419
exercise angina,0.004098360655737765
oldpeak,0.020491803278688492
ST slope,0.12704918032786883
age,0.004098360655737765
sex,0.004098360655737765
chest pain type,0.07786885245901642
resting bp s,0.0
cholesterol,0.008196721311475419
fasting blood sugar,0.02868852459016391
resting ecg,0.016393442622950838
max heart rate,0.008196721311475419
exercise angina,0.0
oldpeak,0.012295081967213184
ST slope,0.139344262295082
age,-0.004098360655737654
sex,-0.004098360655737654
chest pain type,0.069672131147541
resting bp s,-0.008196721311475419
cholesterol,0.004098360655737765
fasting blood sugar,0.032786885245901676
resting ecg,0.016393442622950838
max heart rate,-0.004098360655737654
exercise angina,0.02868852459016391
