sample,feature,shap
0,age,0.01429816101736264
0,sex,0.03356053013757296
0,chest pain type,0.08566766922806902
0,resting bp s,0.0031761248086456463
0,cholesterol,-0.0069120149125304845
0,fasting blood sugar,-0.002147274939941999
0,resting ecg,-0.012422879651036497
0,max heart rate,0.06890353759100239
0,exercise angina,0.07600622484931416
0,oldpeak,0.03466181965401522
0,ST slope,0.1552081022175269
1,age,0.0028363853003688854
1,sex,0.03616976838586101
1,chest pain type,0.11369811865573785
1,resting bp s,-0.005159718377197779
1,cholesterol,0.007234076022857498
1,fasting blood sugar,0.05314597308559333
1,resting ecg,0.006218962101715858
1,max heart rate,0.010336974807227905
1,exercise angina,0.12718397302152465
1,oldpeak,-0.0012989817350520674
1,ST slope,0.09963446873136281
2,age,0.040358215542708825
2,sex,-0.016212642093481083
2,chest pain type,-0.04123357805648705
2,resting bp s,0.0022611676788659163
2,cholesterol,0.0036796310005066885
2,fasting blood sugar,-0.023159623732042015
2,resting ecg,-0.07172216962500559
2,max heart rate,0.027732318221776908
2,exercise angina,-0.031242711662917314
2,oldpeak,-0.0019155089848509744
2,ST slope,-0.19448667721081062
3,age,-0.006226149617208013
3,sex,0.016546461552054626
3,chest pain type,0.04237246457414544
3,resting bp s,0.001343301743857145
3,cholesterol,0.0022652604172563725
3,fasting blood sugar,-0.02948144315430309
3,resting ecg,-0.04301371751999959
3,max heart rate,-0.014844701564127372
3,exercise angina,-0.09861892063642934
3,oldpeak,-0.031254063750421175
3,ST slope,-0.1926439233216412
4,age,0.015430216702174038
4,sex,0.027557453075838536
4,chest pain type,0.11073309384500905
4,resting bp s,-0.05693166674013375
4,cholesterol,0.0016509090106022921
4,fasting blood sugar,-0.0007083172145577425
4,resting ecg,-0.0199375272995935
4,max heart rate,0.0029898436283666654
4,exercise angina,0.10737953496404593
4,oldpeak,0.03137483259887291
4,ST slope,0.11488569402157807
5,age,0.0071886297298859635
5,sex,0.06587733563711964
5,chest pain type,0.012533916676495817
5,resting bp s,0.01197919869039544
5,cholesterol,-0.0023928780843859958
5,fasting blood sugar,-0.02006958547282896
5,resting ecg,-0.01763473259132172
5,max heart rate,-0.03269562900657043
5,exercise angina,-0.029834332845397986
5,oldpeak,-0.01579092892831106
5,ST slope,0.2274582296117863
6,age,0.01646764982775123
6,sex,0.03013610557097243
6,chest pain type,-0.002536425131099433
6,resting bp s,0.011154674371834929
6,cholesterol,-0.0002316364551803531
6,fasting blood sugar,-0.0162216017815281
6,resting ecg,0.08858637504574814
6,max heart rate,-0.0019603944064476
6,exercise angina,-0.10078525584324781
6,oldpeak,-0.05094680461809661
6,ST slope,-0.16220275991638272
7,age,0.06885693870297924
7,sex,-0.11563093723259595
7,chest pain type,0.04272322993261215
7,resting bp s,0.012390561873401908
7,cholesterol,0.012033704612479438
7,fasting blood sugar,-0.001668657899962613
7,resting ecg,0.08453755769614853
7,max heart rate,0.0017021240729259226
7,exercise angina,-0.04427619918311202
7,oldpeak,0.16230143477462358
7,ST slope,0.1369422997303787
8,age,0.009905871511896884
8,sex,0.03471835833836404
8,chest pain type,0.07576421110481127
8,resting bp s,0.01197525875799782
8,cholesterol,0.006833080747022039
8,fasting blood sugar,0.05646602239244956
8,resting ecg,0.030577173888298757
8,max heart rate,0.0342105278565492
8,exercise angina,0.06899980447788197
8,oldpeak,0.004604148385720745
8,ST slope,0.1159455425390077
9,age,0.02507840653969678
9,sex,0.036283645371670024
9,chest pain type,0.06260425303339771
9,resting bp s,0.022563469307523253
9,cholesterol,0.026729837332599066
9,fasting blood sugar,-0.03389385399112045
9,resting ecg,-0.027838246274486125
9,max heart rate,0.05125287778555253
9,exercise angina,-0.0973570279095772
9,oldpeak,-0.06005451495750641
9,ST slope,-0.2077594736579203
10,age,0.009227674443652228
10,sex,0.031986511266604734
10,chest pain type,0.1486813139298367
10,resting bp s,-0.00431075080601506
10,cholesterol,0.008234695459914806
10,fasting blood sugar,-0.012284359861666615
10,resting ecg,-0.044325900494441704
10,max heart rate,0.0036198292727000073
10,exercise angina,0.16501592930299921
10,oldpeak,0.013309543155759234
10,ST slope,-0.11862564455455264
11,age,0.00360946587694838
11,sex,0.032784573123570686
11,chest pain type,0.10738330758516865
11,resting bp s,-0.014296087441699454
11,cholesterol,0.0105094659086881
11,fasting blood sugar,0.08088040552006726
11,resting ecg,-0.04033092017925061
11,max heart rate,0.04192358577674714
11,exercise angina,0.0343206571222113
11,oldpeak,-0.018033340171992675
11,ST slope,0.12807690150528744
12,age,0.08986360168843795
12,sex,-0.0344206428772014
12,chest pain type,-0.0014602970810530063
12,resting bp s,-0.010461457883215702
12,cholesterol,-0.0036657747549596544
12,fasting blood sugar,-0.01776429360552561
12,resting ecg,0.05793305506094943
12,max heart rate,-0.036029741490164795
12,exercise angina,-0.041467201397684623
12,oldpeak,-0.008674433826031221
12,ST slope,-0.09505323854190155
13,age,0.0034527398412548815
13,sex,0.0158014436551211
