sample,feature,shap
0,age,0.03783360280598972
0,sex,0.014970370802771957
0,chest pain type,-0.10369869887053546
0,resting bp s,-0.015289258689015598
0,cholesterol,-0.0004632719555814386
0,fasting blood sugar,-0.027951541939841302
0,resting ecg,0.006074020036945402
0,max heart rate,-0.002513410372363602
0,exercise angina,0.07152790211313391
0,oldpeak,-0.027944176521229734
0,ST slope,-0.1737510965053507
1,age,-0.050778962092788454
1,sex,0.015128811481980899
1,chest pain type,-0.17052222147444956
1,resting bp s,-0.0034923575091595363
1,cholesterol,0.0012102659372772637
1,fasting blood sugar,-0.027904930119084327
1,resting ecg,0.006152289091499173
1,max heart rate,0.004665173580867258
1,exercise angina,-0.035868971598156565
1,oldpeak,-0.02775708095430823
1,ST slope,0.16501596106230268
2,age,0.016649273267054853
2,sex,0.015359167970335166
2,chest pain type,-0.038635208688260744
2,resting bp s,-0.003711012776683206
2,cholesterol,0.004572417230661681
2,fasting blood sugar,-0.028436597015839348
2,resting ecg,-0.01047939797494014
2,max heart rate,0.0017972850390614555
2,exercise angina,-0.036644610086375436
2,oldpeak,0.05677066295684267
2,ST slope,-0.1742266989366557
3,age,-0.026890727036467606
3,sex,-0.05023690723514259
3,chest pain type,0.08605035160829717
3,resting bp s,0.007922034041144457
3,cholesterol,-0.0010811247757755954
3,fasting blood sugar,-0.027724719172615077
3,resting ecg,0.0058672293381086
3,max heart rate,-0.003587873700033877
3,exercise angina,-0.035805771433663834
3,oldpeak,-0.02732622975165287
3,ST slope,-0.17871979105520872
4,age,0.02667733829232563
4,sex,-0.050445036854028125
4,chest pain type,0.02484414705643775
4,resting bp s,-0.0006931210512807035
4,cholesterol,-0.0009114026796584793
4,fasting blood sugar,-0.028271980573756836
4,resting ecg,0.022087885762749063
4,max heart rate,0.0038231215253586395
4,exercise angina,-0.03664546057674797
4,oldpeak,-0.02694795943666481
4,ST slope,-0.17782001713491885
5,age,0.016530789290999947
5,sex,0.009753966919022139
5,chest pain type,0.06014839164339128
5,resting bp s,0.0024417458098614456
5,cholesterol,9.208665125648308e-05
5,fasting blood sugar,-0.013877262807755489
5,resting ecg,0.003460932192991529
5,max heart rate,-0.001551561584185766
5,exercise angina,-0.017128728607336198
5,oldpeak,0.009802362886272217
5,ST slope,0.36410402420780025
6,age,0.008255927847450682
6,sex,0.01385849165764475
6,chest pain type,0.07861666107131801
6,resting bp s,-0.015529260766047265
6,cholesterol,0.00010770955970662313
6,fasting blood sugar,0.0637651160301463
6,resting ecg,0.004675734523877146
6,max heart rate,-0.00334145516091939
6,exercise angina,0.06180790256964795
6,oldpeak,-0.018424455564788153
6,ST slope,0.1803495100109679
7,age,0.0248710750025483
7,sex,-0.04928787674931211
7,chest pain type,-0.16484617872096466
7,resting bp s,0.014441042420926484
7,cholesterol,-0.002182239087151035
7,fasting blood sugar,-0.026581393034508936
7,resting ecg,0.005683935289658893
7,max heart rate,0.003391214722075161
7,exercise angina,0.06776123519555417
7,oldpeak,0.020941677932007897
7,ST slope,-0.17307288453769368
8,age,0.010992941539252251
8,sex,0.013239970653747343
8,chest pain type,-0.10036224302410567
8,resting bp s,-5.022540466785773e-06
8,cholesterol,0.0025848570905179138
8,fasting blood sugar,-0.02620367913012904
8,resting ecg,-0.009570018166130347
8,max heart rate,0.0025276352649711
8,exercise angina,-0.03382252265955462
8,oldpeak,-0.005087296216236349
8,ST slope,-0.17800660447368355
9,age,-0.008718260409701722
9,sex,0.016840662440549523
9,chest pain type,0.09949974628942143
9,resting bp s,0.005229843717617444
9,cholesterol,0.00024108046103294792
9,fasting blood sugar,0.08508674419981868
9,resting ecg,-0.010697698016755785
9,max heart rate,-0.002720853503740982
9,exercise angina,-0.0349313219805035
9,oldpeak,0.015651587674535984
9,ST slope,-0.15184508343138794
10,age,-0.008457889255948894
10,sex,0.014269083944155
10,chest pain type,0.08374309222824591
10,resting bp s,-0.012235832525947272
10,cholesterol,-0.0059174442536589515
10,fasting blood sugar,-0.01980941195039112
10,resting ecg,-0.008104761553531105
10,max heart rate,-0.004749011576453607
10,exercise angina,0.06685884233348656
10,oldpeak,0.03712693264709803
10,ST slope,0.18856016465930486
11,age,-0.07071251627389709
11,sex,-0.052341898322902924
11,chest pain type,-0.036609756989167255
11,resting bp s,0.00844886687070969
11,cholesterol,0.0021692748848740682
11,fasting blood sugar,-0.0283788101392615
11,resting ecg,0.006330967195557045
11,max heart rate,0.003740480737586456
11,exercise angina,-0.036092316740493444
11,oldpeak,-0.02849827932370977
11,ST slope,0.17766585088827586
12,age,0.020541600565744562
12,sex,0.014490539706941332
12,chest pain type,0.08545741590863953
12,resting bp s,0.011206804518017203
12,cholesterol,0.00013741473589457781
12,fasting blood sugar,-0.019696530425803296
12,resting ecg,-0.008048033014382876
12,max heart rate,-0.0022609594266657625
12,exercise angina,0.062895604955936
12,oldpeak,-0.008879652498588075
12,ST slope,0.18791020177319187
13,age,0.021177466740249836
13,sex,-0.03967132506002992
13,chest pain type,0.08827032636901767
13,resting bp s,-0.0022715730394363646
13,cholesterol,-0.003619385034727109
13,fasting blood sugar,0.0694786207722086
13,resting ecg,-0.008538232594986412
13,max heart rate,-0.003695647137691024
13,exercise angina,-0.025225765898662152
13,oldpeak,0.02328680117728425
13,ST slope,0.192364900124324
14,age,0.00012156311104620312
14,sex,-0.03869213940503622
14,chest pain type,0.08545013928608573
14,resting bp s,-0.02158583587000037
14,cholesterol,-0.005707189868672138
14,fasting blood sugar,-0.020381898932934822
14,resting ecg,0.005201944834466277
14,max heart rate,-0.0024302066004365823
14,exercise angina,0.06492031044627407
14,oldpeak,0.06032309923193536
14,ST slope,0.18992523717619236
15,age,-0.02634065859299949
15,sex,0.0141649471781806
15,chest pain type,0.0869807796312488
15,resting bp s,0.01135387733574699
15,cholesterol,8.430376070871281e-05
15,fasting blood sugar,-0.019778515933645546
15,resting ecg,0.004992055514238554
15,max heart rate,-0.00029390298620457234
15,exercise angina,0.06430344975475064
15,oldpeak,0.0023224483895696777
15,ST slope,0.1902431973112454
16,age,-0.0265869356072255
