sample,feature,shap
0,age,0.05017829849416754
0,sex,-0.0006889967428648556
0,chest pain type,-0.04816594016094767
0,resting bp s,0.010342571518481523
0,cholesterol,0.006343077074318814
0,fasting blood sugar,-0.008671273844142477
0,resting ecg,0.032212273298760474
0,max heart rate,-0.0001905861352525359
0,exercise angina,0.0078076415131923685
0,oldpeak,0.008975804702141607
0,ST slope,-0.1925775000145441
1,age,-0.006878064175102606
1,sex,-0.005483586545994597
1,chest pain type,-0.10906596411943147
1,resting bp s,0.0049758803147710255
1,cholesterol,-0.00999020229938865
1,fasting blood sugar,-0.0028181542087224627
1,resting ecg,0.04436368905875259
1,max heart rate,0.009312916506792841
1,exercise angina,0.0013915802481883146
1,oldpeak,0.014573585162696346
1,ST slope,0.20304522180779797
2,age,-0.0010256546337892825
2,sex,-0.0031815176707912004
2,chest pain type,-0.07228911622862458
2,resting bp s,-0.006889634910846775
2,cholesterol,-0.02276968650914461
2,fasting blood sugar,-0.010516190017249237
2,resting ecg,-0.028354156729432905
2,max heart rate,0.010803992405659981
2,exercise angina,-0.014382383618361281
2,oldpeak,0.06453843953694495
2,ST slope,-0.16133493309795402
3,age,-0.050806081097473185
3,sex,-0.05756867724957404
3,chest pain type,0.027917950705263837
3,resting bp s,-0.002651122377950631
3,cholesterol,-0.012367889837617012
3,fasting blood sugar,-0.020231127171076772
3,resting ecg,0.011835646322628552
3,max heart rate,-0.010467150409855288
3,exercise angina,-0.032647540565458814
3,oldpeak,-0.0757852107199686
3,ST slope,-0.20867723929821214
4,age,0.05203240524055846
4,sex,-0.024338178676508882
4,chest pain type,-0.07145784120129298
4,resting bp s,-0.00014584257352844683
4,cholesterol,-0.00441314183574666
4,fasting blood sugar,-0.001022124380581732
4,resting ecg,0.007482204323714858
4,max heart rate,0.025210228092831282
4,exercise angina,-0.011069348679440994
4,oldpeak,-0.03297051398288746
4,ST slope,-0.1583991048425418
5,age,0.018699769544921648
5,sex,0.023089767699343483
5,chest pain type,0.11582571419528913
5,resting bp s,0.0027067056191038713
5,cholesterol,0.03965498526545469
5,fasting blood sugar,-0.00924770842459252
5,resting ecg,0.01635311867806894
5,max heart rate,0.03361933150799841
5,exercise angina,-0.01888533567909698
5,oldpeak,0.02026120859834401
5,ST slope,0.14659076214868436
6,age,0.011357279879205715
6,sex,0.010227251183043073
6,chest pain type,0.093761166377436
6,resting bp s,-0.010410161210089693
6,cholesterol,0.03279965165341519
6,fasting blood sugar,0.02153686997903063
6,resting ecg,0.013025085798676056
6,max heart rate,0.025299027951172417
6,exercise angina,0.025226334514739476
6,oldpeak,-0.0177090722011821
6,ST slope,0.21438785121279547
7,age,0.00927426655128682
7,sex,-0.007188247100928784
7,chest pain type,-0.14080939264301687
7,resting bp s,0.04371567092004406
7,cholesterol,-0.029500859667842216
7,fasting blood sugar,-0.0038309481874278413
7,resting ecg,0.024723927545527276
7,max heart rate,0.024848901793277728
7,exercise angina,-0.01430985073435421
7,oldpeak,0.014705810796119675
7,ST slope,-0.11580900235562476
8,age,-0.0013223064324474436
8,sex,-0.006962986208086363
8,chest pain type,-0.050378385327094224
8,resting bp s,0.005614227769349968
8,cholesterol,-0.026099327384915535
8,fasting blood sugar,-0.004412365663865819
8,resting ecg,-0.03702273664890384
8,max heart rate,0.0012503524836404176
8,exercise angina,-0.010984058156172328
8,oldpeak,0.01725941893608041
8,ST slope,-0.1500238292699255
9,age,-0.01389558347058507
9,sex,0.012440544172917442
9,chest pain type,0.14861889331388345
9,resting bp s,0.019593205029587644
9,cholesterol,0.07938457836157647
9,fasting blood sugar,0.0760284260227105
9,resting ecg,-0.0018270873326396628
9,max heart rate,0.002112439558211788
9,exercise angina,-0.02633730249179059
9,oldpeak,0.0877912547078247
9,ST slope,-0.13527022817051418
10,age,0.008115609811252603
10,sex,0.015829690466433097
10,chest pain type,0.12097391981031495
10,resting bp s,0.0031637633465117524
10,cholesterol,-0.033711669868288295
10,fasting blood sugar,-0.004183133952182553
10,resting ecg,-0.009667492389065509
10,max heart rate,0.02040658164046355
10,exercise angina,0.03648935879280796
10,oldpeak,0.036090972473554694
10,ST slope,0.19319534156959386
11,age,-0.04378206852636603
11,sex,-0.041381804163326215
11,chest pain type,-0.005705676397680106
11,resting bp s,-0.0004445600893563807
11,cholesterol,-0.011289880218409546
11,fasting blood sugar,-0.010271298412739292
11,resting ecg,0.07945384419747532
11,max heart rate,0.015300463552803435
11,exercise angina,-0.0076031636705397795
11,oldpeak,0.022216455680044652
11,ST slope,0.24918599043269932
12,age,0.009743870856461273
12,sex,0.01974181327645373
12,chest pain type,0.10696324097478017
12,resting bp s,-0.010894726872954367
12,cholesterol,0.044921997311729335
12,fasting blood sugar,-0.011895384336275207
12,resting ecg,-0.013711747448207367
12,max heart rate,0.027293080614325175
12,exercise angina,0.032301264322246274
12,oldpeak,-0.00654008333471854
12,ST slope,0.1506315520552403
13,age,0.017646720772209707
13,sex,-0.08252219889590859
13,chest pain type,0.0766152027690519
13,resting bp s,0.013754247837561956
13,cholesterol,-0.03448624532206966
13,fasting blood sugar,0.04536582704526369
13,resting ecg,-0.011239549782491665
13,max heart rate,0.006923024106710587
13,exercise angina,-0.029254777821297484
13,oldpeak,0.010430598976153307
13,ST slope,0.15360850145209537
14,age,0.007190168979291995
14,sex,-0.08862898195565672
14,chest pain type,0.08870133981629848
14,resting bp s,-0.01021656722973889
14,cholesterol,-0.033511478206210296
14,fasting blood sugar,-0.013211100092668293
14,resting ecg,0.007474198235337156
14,max heart rate,-0.014853429863345107
14,exercise angina,0.03107582208754262
14,oldpeak,0.04257563594704474
14,ST slope,0.15338519974277773
15,age,-0.006882505442591048
15,sex,0.024400164334893577
15,chest pain type,0.12613999795485759
15,resting bp s,-0.0006675713858369038
15,cholesterol,0.03506619457228871
15,fasting blood sugar,-0.00864132568877355
15,resting ecg,0.017121720812620186
15,max heart rate,-0.0012968167556832379
15,exercise angina,0.04615019687904992
15,oldpeak,0.007345350586051894
15,ST slope,0.1556686237981614
16,age,-0.009924652219437766
16,sex,0.02026989597880453
16,chest pain type,0.13780219627566795
16,resting bp s,-0.002238044509017812
16,cholesterol,-0.012432871333367367
16,fasting blood sugar,-0.006374767538019643
16,resting ecg,-0.023671917936862276
16,max heart rate,0.007057423859049151
16,exercise angina,0.054224486095194854
16,oldpeak,0.04317073039392293
16,ST slope,0.12105714960106509
17,age,0.026306684520923322
17,sex,0.01512887138475332
17,chest pain type,0.10679202870675286
17,resting bp s,0.00019037013425475866
17,cholesterol,0.01546372896860349
17,fasting blood sugar,-0.006670156260748074
17,resting ecg,-0.011826417134060543
17,max heart rate,0.02721704722586036
17,exercise angina,0.03625808241397499
17,oldpeak,-0.014165138151701558
17,ST slope,0.2055447520442773
18,age,0.022692456969183015
18,sex,-0.004470546077672734
18,chest pain type,-0.053911343119530684
18,resting bp s,-0.004065934965785998
18,cholesterol,-0.00378050847295698
18,fasting blood sugar,-0.007979943948196257
18,resting ecg,-0.021381558219268487
18,max heart rate,0.02569521244209036
18,exercise angina,-0.012612684260777506
18,oldpeak,0.021809172578091902
18,ST slope,-0.17800911947522294
19,age,-0.004068416423270893
19,sex,-0.0023030972028420396
19,chest pain type,-0.059590753865514434
19,resting bp s,-0.012413339647984493
19,cholesterol,-0.033104737763612675
19,fasting blood sugar,-0.016731445083777743
19,resting ecg,-0.03207726992278507
19,max heart rate,-0.015047314396575579
19,exercise angina,-0.03363494757919005
19,oldpeak,-0.06476581054499223
19,ST slope,-0.24640539025118505
20,age,0.020584255225155796
20,sex,0.017325417742584826
20,chest pain type,-0.03137115806833888
20,resting bp s,0.005417647422765139
20,cholesterol,0.031234700173916146
20,fasting blood sugar,-0.004842799124377282
20,resting ecg,-0.03630446519011295
20,max heart rate,0.05519362079746629
20,exercise angina,0.0477283861354376
20,oldpeak,-0.018845562051185077
20,ST slope,0.19175264582745
21,age,-0.05322018715006519
21,sex,-0.017321396417359605
21,chest pain type,-0.05240313852864988
21,resting bp s,0.0005905181597452156
21,cholesterol,-0.01719227405437504
21,fasting blood sugar,-0.012401116110457758
21,resting ecg,-0.03787416921852252
21,max heart rate,0.0003573976414932567
21,exercise angina,-0.02268576417624864
21,oldpeak,-0.07162410704418377
21,ST slope,-0.18363014916151932
22,age,0.011244051826479988
22,sex,0.014877099078534664
22,chest pain type,-0.009426042679334886
22,resting bp s,-0.011586507663968336
22,cholesterol,0.028225921656321006
22,fasting blood sugar,-0.00734533233766157
22,resting ecg,0.014349030114225628
22,max heart rate,0.038193480079017066
22,exercise angina,0.03379092395790354
22,oldpeak,0.017174907302811543
22,ST slope,0.20908620441819417
23,age,0.0011054971860029422
23,sex,0.004063022708734739
23,chest pain type,-0.07154454404669436
23,resting bp s,0.00318417170917462
23,cholesterol,-0.018375090362084463
23,fasting blood sugar,0.02273348047112014
23,resting ecg,0.027529680052696272
23,max heart rate,0.02474863444497281
23,exercise angina,-0.014999149444156598
23,oldpeak,-0.00697054508277682
23,ST slope,0.1692241698077041
24,age,0.008237874199982334
24,sex,-0.004760766979054361
24,chest pain type,-0.19008198482921074
24,resting bp s,0.02075016363827008
24,cholesterol,-0.01829663715331277
24,fasting blood sugar,-0.00040201044194814633
24,resting ecg,0.03399990740825222
24,max heart rate,0.022847397058447978
24,exercise angina,-0.011790710688333317
24,oldpeak,-0.0034070863482948384
24,ST slope,0.16801303029780928
25,age,0.009778315689499925
25,sex,0.019626494706705907
25,chest pain type,0.12600222699241442
25,resting bp s,-0.0031825207307278045
25,cholesterol,-0.0034878041962490267
25,fasting blood sugar,0.024858156515616885
25,resting ecg,-0.011221570493505658
25,max heart rate,0.020730256443283614
25,exercise angina,0.03804838021755636
25,oldpeak,0.005226729686653207
25,ST slope,0.17220729503740617
26,age,0.002193287225244507
26,sex,-0.0007463508384124957
26,chest pain type,-0.11388046674734693
26,resting bp s,-0.007936186540811562
26,cholesterol,-0.0041711052602096555
26,fasting blood sugar,-0.009881860501269962
26,resting ecg,-0.044771469057473326
26,max heart rate,0.01600201401082995
26,exercise angina,-0.003973460945672953
26,oldpeak,0.016100914150132678
26,ST slope,0.18435925084893973
27,age,0.012721629379537152
27,sex,-0.003230950781013321
27,chest pain type,-0.07002750926285788
27,resting bp s,-0.0032139635426783873
27,cholesterol,-0.024450134791433483
27,fasting blood sugar,-0.008361381876347948
27,resting ecg,-0.03049324281267857
27,max heart rate,-0.0026354676618897573
27,exercise angina,-0.030571588001776277
27,oldpeak,-0.061258505212697795
27,ST slope,-0.2035437108294416
28,age,-0.004277026265415688
28,sex,-0.0012553409287800472
28,chest pain type,-0.11024805978399653
28,resting bp s,0.010310083202681378
28,cholesterol,-0.006260021639490448
28,fasting blood sugar,-0.00913491963207112
28,resting ecg,-0.0356369529969109
28,max heart rate,-0.013463021296631385
28,exercise angina,0.027208048621777708
28,oldpeak,-0.005511714157539651
28,ST slope,-0.18025845846935903
29,age,-0.015026453510700427
29,sex,4.137710831965865e-05
29,chest pain type,-0.06997077136764489
29,resting bp s,-0.006444094800082703
29,cholesterol,-0.021604694057015202
29,fasting blood sugar,-0.01282042864083
29,resting ecg,-0.030077614481788688
29,max heart rate,-0.019660569415860012
29,exercise angina,-0.02759102089214863
29,oldpeak,-0.0595562483926649
29,ST slope,-0.2557570145418661
30,age,-0.02998386069202255
30,sex,-0.036452107691842185
30,chest pain type,-0.07008768495698955
30,resting bp s,0.006814337995156244
30,cholesterol,-0.028721897890027943
30,fasting blood sugar,-0.00569271465903472
30,resting ecg,-0.04228111106251207
30,max heart rate,0.0016997709657941655
30,exercise angina,-0.01836613549072332
30,oldpeak,0.03619619453271749
30,ST slope,-0.10870052731166988
31,age,-0.05668095857724376
31,sex,-0.05740098662935479
31,chest pain type,0.06201317388815307
31,resting bp s,0.020851664198669163
31,cholesterol,-0.013427419015589363
31,fasting blood sugar,-0.014960267227233396
31,resting ecg,-0.000654877562489409
31,max heart rate,0.013549034595836031
31,exercise angina,-0.037472469829868085
31,oldpeak,-0.05883655427521731
