feature,mda
age,-0.020491803278688492
sex,0.004098360655737765
chest pain type,0.06557377049180324
resting bp s,0.0
cholesterol,0.008196721311475419
fasting blood sugar,0.004098360655737765
resting ecg,-0.004098360655737654
max heart rate,-0.008196721311475419
exercise angina,0.016393442622950838
oldpeak,0.008196721311475419
ST slope,0.14754098360655743
age,-0.012295081967213073
sex,0.008196721311475419
chest pain type,0.09836065573770492
resting bp s,0.0
cholesterol,0.0
fasting blood sugar,0.0
resting ecg,0.008196721311475419
max heart rate,-0.004098360655737654
exercise angina,0.020491803278688492
oldpeak,0.016393442622950838
ST slope,0.12295081967213117
age,0.0
sex,0.004098360655737765
chest pain type,0.049180327868852514
resting bp s,0.0
cholesterol,0.004098360655737765
fasting blood sugar,0.016393442622950838
resting ecg,0.004098360655737765
max heart rate,-0.012295081967213073
exercise angina,0.016393442622950838
oldpeak,0.0
ST slope,0.16803278688524592
age,-0.004098360655737654
sex,0.004098360655737765
chest pain type,0.10245901639344268
resting bp s,0.004098360655737765
cholesterol,0.012295081967213073
fasting blood sugar,0.016393442622950838
resting ecg,0.004098360655737765
max heart rate,-0.012295081967213073
exercise angina,0.032786885245901676
oldpeak,0.032786885245901676
ST slope,0.1598360655737705
age,-0.008196721311475419
sex,0.008196721311475419
chest pain type,0.08606557377049184
resting bp s,0.004098360655737765
cholesterol,0.004098360655737765
fasting blood sugar,0.02868852459016391
resting ecg,0.008196721311475419
max heart rate,0.004098360655737765
exercise angina,0.02868852459016391
oldpeak,0.012295081967213073
ST slope,0.16393442622950816
age,-0.004098360655737654
sex,-0.004098360655737654
chest pain type,0.09426229508196726
resting bp s,-0.004098360655737654
cholesterol,-0.008196721311475419
fasting blood sugar,0.024590163934426257
resting ecg,0.008196721311475419
max heart rate,-0.012295081967213073
exercise angina,0.020491803278688492
oldpeak,0.02868852459016391
ST slope,0.15573770491803285
age,-0.004098360655737654
sex,0.0
chest pain type,0.08606557377049184
resting bp s,0.004098360655737765
cholesterol,-0.004098360655737654
fasting blood sugar,0.008196721311475419
resting ecg,-0.004098360655737654
max heart rate,-0.008196721311475419
exercise angina,0.0
oldpeak,0.012295081967213073
ST slope,0.17213114754098358
age,-0.004098360655737654
sex,0.008196721311475419
chest pain type,0.07377049180327866
resting bp s,-0.004098360655737654
cholesterol,0.004098360655737765
