sample,feature,shap
0,age,0.01731661900997156
0,sex,0.030381393978340037
0,chest pain type,0.09286644716864781
0,resting bp s,-0.011903074026364212
0,cholesterol,-0.004968952823178783
0,fasting blood sugar,-0.003172684015228252
0,resting ecg,-0.004625750560993012
0,max heart rate,0.01861564132980932
0,exercise angina,0.03785990972732403
0,oldpeak,0.011349134080852167
0,ST slope,0.16179781737705223
1,age,0.01600066784239403
1,sex,0.046060841222285785
1,chest pain type,0.1289719056910427
1,resting bp s,-0.0010943058983799384
1,cholesterol,0.008332531591345478
1,fasting blood sugar,0.01670496858503941
1,resting ecg,-0.05153430433300844
1,max heart rate,-0.00040435358845815404
1,exercise angina,0.05878892696587749
1,oldpeak,0.005243506656596379
1,ST slope,0.1462404194579328
2,age,0.005236945029374727
2,sex,-0.0032616970059559155
2,chest pain type,-0.06402459736254869
2,resting bp s,-0.0034105247548700812
2,cholesterol,-0.0026795828636676233
2,fasting blood sugar,-0.006323012065112541
2,resting ecg,-0.02768765737606586
2,max heart rate,0.005485453055194346
2,exercise angina,-0.008261284085090052
2,oldpeak,-0.01851021719361708
2,ST slope,-0.2420312725283416
3,age,-0.012816691918435076
3,sex,0.03575965438502963
3,chest pain type,0.049131438539572025
3,resting bp s,0.005401786113754345
3,cholesterol,0.0030657965428561433
3,fasting blood sugar,-0.02490109820512676
3,resting ecg,-0.0156268640942943
3,max heart rate,0.009026141303967707
3,exercise angina,-0.07245615468519803
3,oldpeak,-0.025946017485408368
3,ST slope,-0.22283452738412998
4,age,0.007865985564972514
4,sex,0.01991528801798531
4,chest pain type,0.10274553308194931
4,resting bp s,-0.08487199091802326
4,cholesterol,-0.0027458380444381333
4,fasting blood sugar,-0.005340655623733643
4,resting ecg,-0.013523194644735474
4,max heart rate,-0.007357529644767122
4,exercise angina,0.048611320325942675
4,oldpeak,0.023865998549780634
4,ST slope,0.12923781350916877
5,age,-0.005704893159812016
5,sex,0.06818668964346361
5,chest pain type,0.018142350517046782
5,resting bp s,0.006283597951300913
5,cholesterol,-0.0005229867061094161
5,fasting blood sugar,-0.006681340917271768
5,resting ecg,0.013375230823433452
5,max heart rate,-0.0008157837914796951
5,exercise angina,-0.02373472791989773
5,oldpeak,-0.0027879850020291357
5,ST slope,0.2536117841219231
6,age,0.003633870122576681
6,sex,0.025809798252770574
6,chest pain type,-0.00882380865295593
6,resting bp s,0.00395145415180835
6,cholesterol,-0.007988247015680284
6,fasting blood sugar,-0.006868900785902824
6,resting ecg,-0.01024885322913904
6,max heart rate,-0.013408107321053343
6,exercise angina,-0.07095669482230749
6,oldpeak,-0.04661055072237902
6,ST slope,-0.23024345614421776
7,age,0.046427061907797246
7,sex,-0.09819042998022703
7,chest pain type,0.03537426778879754
7,resting bp s,0.013460916310646484
7,cholesterol,0.02420143174298848
7,fasting blood sugar,-0.0031733917069833714
7,resting ecg,-0.014264758592460665
7,max heart rate,0.013451559620590116
7,exercise angina,-0.019085980712358074
7,oldpeak,0.08746047434970543
7,ST slope,0.17157705419710553
8,age,0.019656661747430117
8,sex,0.030884369929964746
8,chest pain type,0.07736791267660838
8,resting bp s,0.00391518925154735
8,cholesterol,0.007936096013161935
8,fasting blood sugar,0.031434755444563686
8,resting ecg,0.02214731124549287
8,max heart rate,0.012012144291654295
8,exercise angina,0.027445416561993327
8,oldpeak,0.00226875929425653
8,ST slope,0.17567934396795395
9,age,-0.01561086244060951
9,sex,0.026856340727925816
9,chest pain type,0.03687947108497839
9,resting bp s,-0.0007122129248875274
9,cholesterol,-0.0017704423080934961
9,fasting blood sugar,-0.030929524856710716
9,resting ecg,-0.005991753828986196
9,max heart rate,-0.00316535668245476
9,exercise angina,-0.0743372788886397
9,oldpeak,-0.05526515264866613
9,ST slope,-0.24973245347918865
10,age,0.032091258951154424
10,sex,0.037575594207464355
10,chest pain type,0.1609540652063624
10,resting bp s,0.002714479526408208
10,cholesterol,0.0010965188412302217
10,fasting blood sugar,-0.014518432459854545
10,resting ecg,-0.03093908256092974
10,max heart rate,-0.012542365347183882
10,exercise angina,0.12926517754675135
10,oldpeak,0.01141013644279459
10,ST slope,-0.1512414108352579
11,age,0.014648563762529035
11,sex,0.02403208906168596
11,chest pain type,0.10831474613819783
11,resting bp s,0.0015359740453108723
11,cholesterol,0.010467432181729316
11,fasting blood sugar,0.029757813304204413
11,resting ecg,-0.0010796115722638226
11,max heart rate,0.026290096576483624
11,exercise angina,0.026472482719318076
11,oldpeak,-0.012551831663988938
11,ST slope,0.17805450859129948
12,age,0.08647564683229648
12,sex,-0.05629646328998726
12,chest pain type,-0.03206130751554123
12,resting bp s,-0.01026490674776852
12,cholesterol,-0.006749953614146068
12,fasting blood sugar,-0.009801718174814287
12,resting ecg,-0.012765970867368436
12,max heart rate,-0.04987209697241145
12,exercise angina,-0.03293453859906216
12,oldpeak,-0.01762369050377765
12,ST slope,-0.14137851103905513
13,age,0.019344493362285994
